 -----------------------------------------------------------
   #####   #   ####   #    #      ####           #    
   #    #  #  #    #  ##  ##  #  #    #          #    
   #    #  #  #       # ## #     #         ##    #    
   #####   #   ####   # ## #  #  #           #   #    
   # #     #       #  #    #  #  #        ####   #    
   #  #    #  #    #  #    #  #  #    #  #   #   #    
   #    #  #   ####   #    #  #   ####    ### #  ##   
                                                      
                                                      
  The Reference Interaction Site-Model integrated Calculator
  Copyright(C) 2021 -- Norio Yoshida -- All Rights Reserved.
 -----------------------------------------------------------

     RISMiCal home dir:/Users/noriwo/software/RISMiCal/

  -------------------------------------------------
    1D-RISM run for solvent-solvent system
  -------------------------------------------------

    ======= Computational Conditions =======
    Closure Equation       : KH 
    Maximum Iteration      :       300
    Convergence Criterion  :  1.0000E-08
    Use CHARGEUP Procedure : ON 
    Guess of tau-bond      : F-BOND   
    --------------------------------------
    Grid preset       :STANDARD                
    Number of 1D-Grid :        4096
     Grid width       :      0.0500  [A]
    --------------------------------------
    -----------------------------------------------
                 Solvent parameters
    -----------------------------------------------
    Solvent species:   1    Total number of solvent site:   3
      Density[M]  : Solvent
        54.00000    TIP3P                                                                           
    Temperature :   298.00000 [K]
    ATOM SPC sig[Angs]   eps[J/mol]  charge[e]    ---X---     ---Y---     ---Z---    density[M] 
    O      1     3.15000   636.00000    -0.83400     0.00000     0.00000     0.00000    54.00000
    H      1     0.40000   192.50000     0.41700     0.00000     0.75670     0.58588    54.00000
    H      1     0.40000   192.50000     0.41700     0.00000    -0.75670     0.58588    54.00000

    Dielectric consistent rism option activated.
    Dielectric constant =   78.5000

    ========== V-V 1DRISM ==========

    Temperature      : 298.00000[K]
    Charge Up Factor :   0.00000

   ITR      RESIDUAL       #-SUB MIN      DUMP
        79      0.019257031094    10  F     0.20000
        80      0.012499371637    10  T     0.20000
        81      0.012564823829    10  F     0.20000
        82      0.017403343856    10  F     0.20000
        83      0.019351776187    10  F     0.20000
        84      0.019065830484    10  F     0.20000
        85      0.014457900198    10  F     0.20000
        86      0.002406176208    10  T     0.20000
        87      0.002789414659    10  F     0.20000
        88      0.001658581102    10  T     0.20000
        89      0.000708899092    10  T     0.20000
        90      0.000573254215    10  T     0.20000
        91      0.000157687669    10  T     0.20000
        92      0.000120316776    10  T     0.20000
        93      0.000076653311    10  T     0.20000
        94      0.000053373834    10  T     0.20000
        95      0.000007635500     0  X    CONVERGED

    RISM CYCLE IS CONVERGED

    ========== V-V 1DRISM ==========

    Temperature      : 298.00000[K]
    Charge Up Factor :   0.40000

   ITR      RESIDUAL       #-SUB MIN      DUMP
         1      0.392880934608     1  T     0.20000
         2      0.185868051507     2  T     0.20000
         3      0.263000565103     3  F     0.20000
         4      0.120864217173     4  T     0.20000
         5      0.046105586925     5  T     0.20000
         6      0.090905621084     6  F     0.20000
         7      0.099621665756     7  F     0.20000
         8      0.038444945729     8  T     0.20000
         9      0.046693036321     9  F     0.20000
        10      0.040345631541    10  F     0.20000
        11      0.023303538152    10  T     0.20000
        12      0.038541546694    10  F     0.20000
        13      0.037724741502    10  F     0.20000
        14      0.028762977465    10  F     0.20000
        15      0.025092235267    10  F     0.20000
        16      0.016050797596    10  T     0.20000
        17      0.005714573311    10  T     0.20000
        18      0.006667942387    10  F     0.20000
        19      0.002007112019    10  T     0.20000
        20      0.001326274909    10  T     0.20000
        21      0.000630953352    10  T     0.20000
        22      0.000241749485    10  T     0.20000
        23      0.000035112503    10  T     0.20000
        24      0.000025326695    10  T     0.20000
        25      0.000030573800    10  F     0.20000
        26      0.000009474027     0  X    CONVERGED

    RISM CYCLE IS CONVERGED

    ========== V-V 1DRISM ==========

    Temperature      : 298.00000[K]
    Charge Up Factor :   0.60000

   ITR      RESIDUAL       #-SUB MIN      DUMP
         1      0.395098507054     1  T     0.20000
         2      0.204498553134     2  T     0.20000
         3      0.249889056170     3  F     0.20000
         4      0.121130441361     4  T     0.20000
         5      0.054420210374     5  T     0.20000
         6      0.042334626729     6  T     0.20000
         7      0.106104788300     7  F     0.20000
         8      0.059474848245     8  F     0.20000
         9      0.062535638413     9  F     0.20000
        10      0.072785503556    10  F     0.20000
        11      0.030819034442    10  T     0.20000
        12      0.027279566502    10  T     0.20000
        13      0.021905817500    10  T     0.20000
        14      0.012208619571    10  T     0.20000
        15      0.010933908895    10  T     0.20000
        16      0.005907179895    10  T     0.20000
        17      0.003587572632    10  T     0.20000
        18      0.002718195655    10  T     0.20000
        19      0.003426051444    10  F     0.20000
        20      0.001233855479    10  T     0.20000
        21      0.000609787986    10  T     0.20000
        22      0.000772409686    10  F     0.20000
        23      0.000198119227    10  T     0.20000
        24      0.000072506858    10  T     0.20000
        25      0.000076134760    10  F     0.20000
        26      0.000048225217    10  T     0.20000
        27      0.000013139921    10  T     0.20000
        28      0.000002811526     0  X    CONVERGED

    RISM CYCLE IS CONVERGED

    ========== V-V 1DRISM ==========

    Temperature      : 298.00000[K]
    Charge Up Factor :   0.80000

   ITR      RESIDUAL       #-SUB MIN      DUMP
         1      0.398013062950     1  T     0.20000
         2      0.263747948369     2  T     0.20000
         3      0.243728393252     3  T     0.20000
         4      0.151916391705     4  T     0.20000
         5      0.046563849244     5  T     0.20000
         6      0.039231471806     6  T     0.20000
         7      0.069269862210     7  F     0.20000
         8      0.034084149932     8  T     0.20000
         9      0.044509770493     9  F     0.20000
        10      0.092643359527    10  F     0.20000
        11      0.044324368565    10  F     0.20000
        12      0.005545712457    10  T     0.20000
        13      0.024804779497    10  F     0.20000
        14      0.017555218031    10  F     0.20000
        15      0.011832461297    10  F     0.20000
        16      0.010890726046    10  F     0.20000
        17      0.007937787428    10  F     0.20000
        18      0.006979103708    10  F     0.20000
        19      0.002565286639    10  T     0.20000
        20      0.002000492166    10  T     0.20000
        21      0.001325186215    10  T     0.20000
        22      0.000631964012    10  T     0.20000
        23      0.000094922935    10  T     0.20000
        24      0.000141860522    10  F     0.20000
        25      0.000015026349    10  T     0.20000
        26      0.000015548359    10  F     0.20000
        27      0.000001817431     0  X    CONVERGED

    RISM CYCLE IS CONVERGED

    ========== V-V 1DRISM ==========

    Temperature      : 298.00000[K]
    Charge Up Factor :   1.00000

   ITR      RESIDUAL       #-SUB MIN      DUMP
         1      0.401077632683     1  T     0.20000
         2      0.363113984281     2  T     0.20000
         3      0.240224798264     3  T     0.20000
         4      0.182565179499     4  T     0.20000
         5      0.066776425399     5  T     0.20000
         6      0.052118364769     6  T     0.20000
         7      0.042589924242     7  T     0.20000
         8      0.070843606055     8  F     0.20000
         9      0.050017166094     9  F     0.20000
        10      0.063667785528    10  F     0.20000
        11      0.022046908693    10  T     0.20000
        12      0.036853760582    10  F     0.20000
        13      0.008632010309    10  T     0.20000
        14      0.022963955595    10  F     0.20000
        15      0.007838007551    10  T     0.20000
        16      0.007190056678    10  T     0.20000
        17      0.005622986492    10  T     0.20000
        18      0.003675085806    10  T     0.20000
        19      0.002402980850    10  T     0.20000
        20      0.002626891398    10  F     0.20000
        21      0.000974565692    10  T     0.20000
        22      0.000154844656    10  T     0.20000
        23      0.000087248955    10  T     0.20000
        24      0.000027281464    10  T     0.20000
        25      0.000020432532    10  T     0.20000
        26      0.000004440334    10  T     0.20000
        27      0.000003804001    10  T     0.20000
        28      0.000001034406    10  T     0.20000
        29      0.000000255067    10  T     0.20000
        30      0.000000021897    10  T     0.20000
        31      0.000000006763     0  X    CONVERGED

    RISM CYCLE IS CONVERGED

    ======= Physical Property of V-V System =======

    Excess Chemical Potential:    -15.35144700[kJ/mol]

    GF Form Ex.Chem.Pot.     :    -30.93036367[kJ/mol]

    V-V Binding Energy       :   -109.55044913[kJ/mol]
     Site Contribution (On Solvent Site)
                   ----->O   :    -98.24118351[kJ/mol]
                   ----->H   :     -5.65463281[kJ/mol]
                   ----->H   :     -5.65463281[kJ/mol]

    Coordination Number 
     NAME     O   [Radius ]    H   [Radius ]    H   [Radius ]
     O     7.69066[  3.900] 0.46969[  2.000] 0.46969[  2.000]
     H     0.46969[  2.000] 1.32152[  2.600] 1.32152[  2.600]
     H     0.46969[  2.000] 1.32152[  2.600] 1.32152[  2.600]

    Density Fluctuation        :      0.07183602
    Isothermal Compressibility :      0.53690574[/GPa]
                               :      0.00005440[/atm]

    Pressure (A route)         :  0.36760500E+09[Pa]
                               :  0.36279783E+04[atm]

 -----------------------------------------------------------
         RISMiCal computation is completed normally.        
            --- Keep casting, tight lines. ---              
 -----------------------------------------------------------
  Users must cite the following papers for any publications,
  which include the results obtained with RISMiCal code.    
  References:                                               
 N. Yoshida, IOP Conf. Series: Mat. Sci. Eng.773 (2020) 012062 (DOI:10.1088/1757-899X/773/1/012062)  
 N. Yoshida, J. Chem. Info. Model 57 (2017) 2646-2656 (DOI:10.1021/acs.jcim.7b00389)  
 N. Yoshida, J. Chem. Phys. 140 (2014) 214118 (DOI: 10.1063/1.4879795)  
 -----------------------------------------------------------
